,America/Louisville,Alias,-300,-240,America/Kentucky/Louisville
SX,America/Lower_Princes,Alias,-240,-240,America/Curacao
BR,America/Maceio,Canonical,-180,-180,
NI,America/Managua,Canonical,-360,-360,
BR,America/Manaus,Canonical,-240,-240,
MF,America/Marigot,Alias,-240,-240,America/Port_of_Spain
MQ,America/Martinique,Canonical,-240,-240,
MX,America/Matamoros,Canonical,-360,-300,
MX,America/Mazatlan,Canonical,-420,-360,
,America/Mendoza,Alias,-180,-180,America/Argentina/Mendoza
US,America/Menominee,Canonical,-360,-300,
MX,America/Merida,Canonical,-360,-300,
US,America/Metlakatla,Canonical,-540,-480,
MX,America/Mexico_City,Canonical,-360,-300,
PM,America/Miquelon,Canonical,-180,-120,
CA,America/Moncton,Canonical,-240,-180,
MX,America/Monterrey,Canonical,-360,-300,
UY,America/Montevideo,Canonical,-180,-180,
,America/Montreal,Alias,-300,-240,America/Toronto
MS,America/Montserrat,Alias,-240,-240,America/Port_of_Spain
BS,America/Nassau,Canonical,-300,-240,
US,America/New_York,Canonical,-300,-240,
CA,America/Nipigon,Canonical,-300,-240,
US,America/Nome,Canonical,-540,-480,
BR,America/Noronha,Canonical,-120,-120,
US,America/North_Dakota/Beulah,Canonical,-360,-300,
US,America/North_Dakota/Center,Canonical,-360,-300,
US,America/North_Dakota/New_Salem,Canonical,-360,-300,
MX,America/Ojinaga,Canonical,-420,-360,
PA,America/Panama,Canonical,-300,-300,
CA,America/Pangnirtung,Canonical,-300,-240,
SR,America/Paramaribo,Canonical,-180,-180,
US,America/Phoenix,Canonical,-420,-420,
TT,America/Port_of_Spain,Canonical,-240,-240,
HT,America/Port-au-Prince,Canonical,-300,-240,
,America/Porto_Acre,Alias,-300,-300,America/Rio_Branco
BR,America/Porto_Velho,Canonical,-240,-240,
PR,America/Puerto_Rico,Canonical,-240,-240,
CL,America/Punta_Arenas,Canonical,-180,-180,Magallanes Region
CA,America/Rainy_River,Canonical,-360,-300,
CA,America/Rankin_Inlet,Canonical,-360,-300,
BR,America/Recife,Canonical,-180,-180,
